iter	Passed	Remaining
647	5196	2822
648	5203	2814
649	5211	2805
650	5218	2797
651	5225	2789
652	5233	2780
653	5240	2772
654	5247	2763
655	5255	2755
656	5263	2747
657	5271	2739
658	5278	2731
659	5286	2723
660	5294	2715
661	5302	2707
662	5310	2699
663	5318	2691
664	5326	2683
665	5334	2675
666	5342	2667
667	5349	2658
668	5356	2650
669	5364	2642
670	5372	2634
671	5380	2626
672	5389	2618
673	5396	2610
674	5404	2602
675	5412	2594
676	5420	2586
677	5427	2577
678	5436	2570
679	5444	2561
680	5451	2553
681	5458	2545
682	5466	2537
683	5474	2529
684	5481	2520
685	5489	2512
686	5497	2504
687	5505	2496
688	5513	2488
689	5521	2480
690	5529	2472
691	5536	2464
692	5543	2455
693	5550	2447
694	5557	2438
695	5564	2430
696	5571	2421
697	5578	2413
698	5584	2404
699	5592	2396
700	5600	2388
701	5607	2380
702	5615	2372
703	5622	2364
704	5629	2355
705	5636	2347
706	5643	2338
707	5650	2330
708	5657	2322
709	5664	2313
710	5671	2305
711	5678	2296
712	5685	2288
713	5692	2280
714	5700	2272
715	5707	2263
716	5714	2255
717	5721	2247
718	5728	2238
719	5736	2230
720	5743	2222
721	5750	2214
722	5757	2205
723	5764	2197
724	5771	2189
725	5778	2180
726	5785	2172
727	5792	2164
728	5799	2156
729	5807	2148
730	5814	2139
731	5822	2131
732	5829	2123
733	5836	2115
734	5843	2106
735	5852	2099
736	5859	2091
737	5867	2083
738	5875	2075
739	5883	2067
740	5890	2058
741	5898	2050
742	5906	2043
743	5914	2035
744	5922	2027
745	5930	2019
746	5938	2011
747	5946	2003
748	5955	1995
749	5962	1987
750	5970	1979
751	5978	1971
752	5985	1963
753	5993	1955
754	6001	1947
755	6011	1940
756	6019	1932
757	6028	1924
758	6035	1916
759	6043	1908
760	6051	1900
761	6060	1892
762	6068	1885
763	6076	1877
764	6084	1869
765	6092	1861
766	6099	1853
767	6107	1845
768	6114	1836
769	6121	1828
770	6130	1820
771	6137	1812
772	6145	1804
773	6151	1796
774	6159	1788
775	6166	1779
776	6173	1771
777	6180	1763
778	6187	1755
779	6194	1747
780	6202	1739
781	6209	1731
782	6216	1722
783	6223	1714
784	6230	1706
785	6237	1698
786	6244	1690
787	6251	1681
788	6259	1673
789	6266	1665
790	6273	1657
791	6281	1649
792	6288	1641
793	6295	1633
794	6303	1625
795	6310	1617
796	6318	1609
797	6325	1601
798	6332	1593
799	6340	1585
800	6348	1577
801	6355	1568
802	6362	1560
803	6369	1552
804	6376	1544
805	6384	1536
806	6391	1528
807	6399	1520
808	6406	1512
809	6414	1504
810	6421	1496
811	6428	1488
812	6435	1480
813	6444	1472
814	6452	1464
815	6460	1456
816	6468	1448
817	6476	1440
818	6484	1433
819	6493	1425
820	6502	1417
821	6509	1409
822	6517	1401
823	6525	1393
824	6533	1385
825	6541	1378
826	6549	1370
827	6556	1361
828	6563	1353
829	6570	1345
830	6577	1337
831	6585	1329
832	6592	1321
833	6599	1313
834	6607	1305
835	6614	1297
836	6621	1289
837	6629	1281
838	6636	1273
839	6643	1265
840	6650	1257
841	6657	1249
842	6665	1241
843	6672	1233
844	6679	1225
845	6687	1217
846	6694	1209
847	6701	1201
848	6708	1193
849	6715	1185
850	6722	1177
851	6729	1169
852	6737	1161
853	6744	1153
854	6752	1145
855	6759	1137
856	6766	1129
857	6773	1121
858	6780	1113
859	6787	1105
860	6795	1097
861	6802	1089
862	6809	1081
863	6816	1073
864	6823	1064
865	6844	1059
866	6850	1050
867	6857	1042
868	6863	1034
869	6870	1026
870	6877	1018
871	6884	1010
872	6891	1002
873	6897	994
874	6904	986
875	6911	978
876	6918	970
877	6925	962
878	6933	954
879	6939	946
880	6947	938
881	6954	930
882	6961	922
883	6968	914
884	6975	906
885	6982	898
886	6989	890
887	6996	882
888	7003	874
889	7011	866
890	7020	858
891	7027	850
892	7035	842
893	7043	835
894	7051	827
895	7059	819
896	7067	811
897	7075	803
898	7082	795
899	7089	787
900	7096	779
901	7103	771
902	7111	763
903	7119	756
904	7127	748
905	7134	740
906	7142	732
907	7150	724
908	7157	716
909	7166	708
910	7173	700
911	7181	692
912	7189	685
913	7197	677
914	7205	669
915	7212	661
916	7221	653
917	7229	645
918	7237	637
919	7245	630
920	7253	622
921	7260	614
922	7268	606
923	7276	598
924	7284	590
925	7292	582
926	7301	574
927	7309	567
928	7316	559
929	7323	551
930	7331	543
931	7339	535
932	7347	527
933	7355	519
934	7362	511
935	7370	503
936	7379	496
937	7387	488
938	7395	480
939	7403	472
940	7411	464
941	7418	456
942	7426	448
943	7435	441
944	7443	433
945	7452	425
946	7461	417
947	7470	409
948	7477	401
949	7485	393
950	7493	386
951	7501	378
952	7509	370
953	7516	362
954	7524	354
955	7533	346
956	7540	338
957	7548	330
958	7557	323
959	7565	315
960	7573	307
961	7581	299
962	7589	291
963	7597	283
964	7605	275
965	7612	267
966	7620	260
967	7628	252
968	7635	244
969	7643	236
970	7651	228
971	7659	220
972	7667	212
973	7675	204
974	7682	196
975	7690	189
976	7698	181
977	7705	173
978	7712	165
979	7740	157
980	7750	150
981	7760	142
982	7774	134
983	7784	126
984	7793	118
985	7802	110
986	7811	102
987	7820	94
988	7828	87
989	7836	79
990	7845	71
991	7853	63
992	7861	55
993	7868	47
994	7875	39
995	7883	31
996	7891	23
997	7898	15
998	7906	7
999	7914	0
